experiment,context,sigma_label,method,count,alignment_mean,M_trace,M_mu,T,mu_norm_sigma,mu_norm_sigma_inv,alignment_metric,panel,d,n,M_iso,mu_norm_l2,alpha,mu_direction
loss_comparison_anisotropic,E1 final checkpoint by Sigma and loss,isotropic,logistic,100,0.8078884182973829,0.1414213562373095,6.293961408377439,25.88950308982126,6.293961408377439,6.293961408377439,alignment_to_wstar,,,,,,,
loss_comparison_anisotropic,E1 final checkpoint by Sigma and loss,isotropic,square,100,0.7943332585352281,0.1414213562373095,6.293961408377439,25.88950308982126,6.293961408377439,6.293961408377439,alignment_to_wstar,,,,,,,
loss_comparison_anisotropic,E1 final checkpoint by Sigma and loss,low_rank,logistic,100,0.8801430971010279,0.1413649570346704,4.450502792390121,15.194881331129206,8.90100558478024,4.45050279239012,alignment_to_wstar,,,,,,,
loss_comparison_anisotropic,E1 final checkpoint by Sigma and loss,low_rank,square,100,0.8617053885836135,0.1413649570346704,4.450502792390121,15.194881331129206,8.90100558478024,4.45050279239012,alignment_to_wstar,,,,,,,
loss_comparison_anisotropic,E1 final checkpoint by Sigma and loss,polynomial alpha=0.2,logistic,100,0.9897704348955753,0.1090561800608175,6.293961408377439,38.045209033118894,6.293961408377439,6.293961408377439,alignment_to_wstar,,,,,,,
loss_comparison_anisotropic,E1 final checkpoint by Sigma and loss,polynomial alpha=0.2,square,100,0.9617553574432357,0.1090561800608175,6.293961408377439,38.045209033118894,6.293961408377439,6.293961408377439,alignment_to_wstar,,,,,,,
loss_comparison_anisotropic,E1 final checkpoint by Sigma and loss,polynomial alpha=0.5,logistic,100,0.9998079790142248,0.0088982032485408,6.293961408377439,38.62860389682279,6.293961408377439,6.293961408377439,alignment_to_wstar,,,,,,,
loss_comparison_anisotropic,E1 final checkpoint by Sigma and loss,polynomial alpha=0.5,square,100,0.9612888037203358,0.0088982032485408,6.293961408377439,38.62860389682279,6.293961408377439,6.293961408377439,alignment_to_wstar,,,,,,,
loss_comparison_anisotropic,E1 final checkpoint by Sigma and loss,polynomial alpha=0.8,logistic,100,0.9999721364050247,0.001005655713357,6.293961408377439,38.63640198753323,6.293961408377439,6.293961408377439,alignment_to_wstar,,,,,,,
loss_comparison_anisotropic,E1 final checkpoint by Sigma and loss,polynomial alpha=0.8,square,100,0.9843596199807336,0.001005655713357,6.293961408377439,38.63640198753323,6.293961408377439,6.293961408377439,alignment_to_wstar,,,,,,,
