table,sigma_label,method,mean,std,count,min,max,panel,d,n,effect_range,alpha,mu_norm_l2,mu_direction,contrast,context,groups,alignment_range,M_trace_range,M_mu_range,T_range,diagnostic,corr_alignment,corr_alignment_log10_diagnostic
scaling_alignment,polynomial alpha=0.8,,0.9968631200407332,0.0011616570958655453,20.0,,,fixed_d_vary_n,20000.0,200.0,,,,,,,,,,,,,,
scaling_alignment,polynomial alpha=0.8,,0.9971687215016493,0.0017877217333045956,20.0,,,fixed_d_vary_n,20000.0,400.0,,,,,,,,,,,,,,
scaling_alignment,polynomial alpha=0.8,,0.9973824012970371,0.0008257153296733635,20.0,,,fixed_d_vary_n,20000.0,800.0,,,,,,,,,,,,,,
scaling_alignment,polynomial alpha=0.8,,0.9974355226363653,0.0009997290793098226,20.0,,,fixed_d_vary_n,20000.0,1200.0,,,,,,,,,,,,,,
scaling_alignment,polynomial alpha=0.8,,0.997118569943586,0.0011081367664166767,20.0,,,fixed_d_vary_n,20000.0,2000.0,,,,,,,,,,,,,,
scaling_alignment,polynomial alpha=0.8,,0.9977383759998535,0.0007413599742574773,20.0,,,fixed_d_vary_n,20000.0,3000.0,,,,,,,,,,,,,,
scaling_alignment,isotropic,,0.793703379300317,0.006316171702782746,20.0,,,fixed_rate_vary_d,2000.0,100.0,,,,,,,,,,,,,,
scaling_alignment,isotropic,,0.7949746296430356,0.005606252383051403,20.0,,,fixed_rate_vary_d,4000.0,200.0,,,,,,,,,,,,,,
scaling_alignment,isotropic,,0.7948994979571073,0.002962878661717702,20.0,,,fixed_rate_vary_d,8000.0,400.0,,,,,,,,,,,,,,
scaling_alignment,isotropic,,0.7936330616989214,0.0024694850533370483,20.0,,,fixed_rate_vary_d,12000.0,600.0,,,,,,,,,,,,,,
scaling_alignment,isotropic,,0.7937060032252647,0.00213465194227804,20.0,,,fixed_rate_vary_d,16000.0,800.0,,,,,,,,,,,,,,
scaling_alignment,isotropic,,0.7953754325567608,0.0021192411088602446,20.0,,,fixed_rate_vary_d,20000.0,1000.0,,,,,,,,,,,,,,
scaling_alignment,polynomial alpha=0.2,,0.9590700074338022,0.002621443766604379,20.0,,,fixed_rate_vary_d,2000.0,100.0,,,,,,,,,,,,,,
scaling_alignment,polynomial alpha=0.2,,0.9654295472635379,0.001997323358118219,20.0,,,fixed_rate_vary_d,4000.0,200.0,,,,,,,,,,,,,,
scaling_alignment,polynomial alpha=0.2,,0.9707461826336367,0.0010463091307137112,20.0,,,fixed_rate_vary_d,8000.0,400.0,,,,,,,,,,,,,,
scaling_alignment,polynomial alpha=0.2,,0.9735376054269402,0.0008995255014597962,20.0,,,fixed_rate_vary_d,12000.0,600.0,,,,,,,,,,,,,,
scaling_alignment,polynomial alpha=0.2,,0.9752035161028783,0.0007213161082944741,20.0,,,fixed_rate_vary_d,16000.0,800.0,,,,,,,,,,,,,,
scaling_alignment,polynomial alpha=0.2,,0.9766098593167701,0.000717262656859715,20.0,,,fixed_rate_vary_d,20000.0,1000.0,,,,,,,,,,,,,,
scaling_alignment,polynomial alpha=0.5,,0.9919089927261762,0.0025227538206282186,20.0,,,fixed_rate_vary_d,2000.0,100.0,,,,,,,,,,,,,,
scaling_alignment,polynomial alpha=0.5,,0.9938418819689854,0.0012278681268167461,20.0,,,fixed_rate_vary_d,4000.0,200.0,,,,,,,,,,,,,,
scaling_alignment,polynomial alpha=0.5,,0.9957511658982428,0.0005197137592928996,20.0,,,fixed_rate_vary_d,8000.0,400.0,,,,,,,,,,,,,,
scaling_alignment,polynomial alpha=0.5,,0.9962491516340023,0.0005530484579897902,20.0,,,fixed_rate_vary_d,12000.0,600.0,,,,,,,,,,,,,,
scaling_alignment,polynomial alpha=0.5,,0.9966877437530641,0.0003269720905866907,20.0,,,fixed_rate_vary_d,16000.0,800.0,,,,,,,,,,,,,,
scaling_alignment,polynomial alpha=0.5,,0.9969771129920625,0.00042134313172193335,20.0,,,fixed_rate_vary_d,20000.0,1000.0,,,,,,,,,,,,,,
scaling_alignment,polynomial alpha=0.8,,0.9941598817184281,0.003324891802680506,20.0,,,fixed_rate_vary_d,2000.0,100.0,,,,,,,,,,,,,,
scaling_alignment,polynomial alpha=0.8,,0.9949554025458605,0.0035735909154670574,20.0,,,fixed_rate_vary_d,4000.0,200.0,,,,,,,,,,,,,,
scaling_alignment,polynomial alpha=0.8,,0.99624894858298,0.002109503417744434,20.0,,,fixed_rate_vary_d,8000.0,400.0,,,,,,,,,,,,,,
scaling_alignment,polynomial alpha=0.8,,0.9971148411531887,0.0011185383461402708,20.0,,,fixed_rate_vary_d,12000.0,600.0,,,,,,,,,,,,,,
scaling_alignment,polynomial alpha=0.8,,0.9971798300056465,0.0015625454701230575,20.0,,,fixed_rate_vary_d,16000.0,800.0,,,,,,,,,,,,,,
scaling_alignment,polynomial alpha=0.8,,0.997402924879278,0.00094718788725129,20.0,,,fixed_rate_vary_d,20000.0,1000.0,,,,,,,,,,,,,,
scaling_svm_ls,isotropic,,1.0,1.2477829590662821e-16,20.0,,,fixed_d_vary_n,20000.0,50.0,,,,,,,,,,,,,,
scaling_svm_ls,isotropic,,1.0,1.836686784592059e-16,20.0,,,fixed_d_vary_n,20000.0,100.0,,,,,,,,,,,,,,
scaling_svm_ls,isotropic,,1.0000000000000002,1.6108808733817073e-16,20.0,,,fixed_d_vary_n,20000.0,200.0,,,,,,,,,,,,,,
scaling_svm_ls,isotropic,,1.0,1.0188105198175002e-16,20.0,,,fixed_d_vary_n,20000.0,400.0,,,,,,,,,,,,,,
scaling_svm_ls,isotropic,,0.9999958598546158,6.261816774947653e-06,20.0,,,fixed_d_vary_n,20000.0,800.0,,,,,,,,,,,,,,
scaling_svm_ls,isotropic,,0.9998841424207761,5.845751351969583e-05,20.0,,,fixed_d_vary_n,20000.0,1200.0,,,,,,,,,,,,,,
scaling_svm_ls,isotropic,,0.9980126463299184,0.0002830750461013578,20.0,,,fixed_d_vary_n,20000.0,2000.0,,,,,,,,,,,,,,
scaling_svm_ls,isotropic,,0.9909953912607138,0.0005913915736209485,20.0,,,fixed_d_vary_n,20000.0,3000.0,,,,,,,,,,,,,,
scaling_svm_ls,polynomial alpha=0.2,,1.0,1.4408156546142918e-16,20.0,,,fixed_d_vary_n,20000.0,50.0,,,,,,,,,,,,,,
scaling_svm_ls,polynomial alpha=0.2,,1.0,1.2477829590662821e-16,20.0,,,fixed_d_vary_n,20000.0,100.0,,,,,,,,,,,,,,
scaling_svm_ls,polynomial alpha=0.2,,0.9999986329204094,4.414831730567371e-06,20.0,,,fixed_d_vary_n,20000.0,200.0,,,,,,,,,,,,,,
scaling_svm_ls,polynomial alpha=0.2,,0.9996984784824388,9.278401065388154e-05,20.0,,,fixed_d_vary_n,20000.0,400.0,,,,,,,,,,,,,,
scaling_svm_ls,polynomial alpha=0.2,,0.9967695246148496,0.0003849393065639788,20.0,,,fixed_d_vary_n,20000.0,800.0,,,,,,,,,,,,,,
scaling_svm_ls,polynomial alpha=0.2,,0.9914198666440728,0.0006849495257987848,20.0,,,fixed_d_vary_n,20000.0,1200.0,,,,,,,,,,,,,,
scaling_svm_ls,polynomial alpha=0.2,,0.9768676834299741,0.0010529917721807396,20.0,,,fixed_d_vary_n,20000.0,2000.0,,,,,,,,,,,,,,
scaling_svm_ls,polynomial alpha=0.2,,0.9544993808110945,0.0017511727496682533,20.0,,,fixed_d_vary_n,20000.0,3000.0,,,,,,,,,,,,,,
scaling_svm_ls,polynomial alpha=0.5,,0.9998159975705491,0.00012062146427328229,20.0,,,fixed_d_vary_n,20000.0,50.0,,,,,,,,,,,,,,
scaling_svm_ls,polynomial alpha=0.5,,0.9986639819084786,0.0002492890812209052,20.0,,,fixed_d_vary_n,20000.0,100.0,,,,,,,,,,,,,,
scaling_svm_ls,polynomial alpha=0.5,,0.9953547695439031,0.000790528692753431,20.0,,,fixed_d_vary_n,20000.0,200.0,,,,,,,,,,,,,,
scaling_svm_ls,polynomial alpha=0.5,,0.9883458955395824,0.0008700505423813467,20.0,,,fixed_d_vary_n,20000.0,400.0,,,,,,,,,,,,,,
scaling_svm_ls,polynomial alpha=0.5,,0.973308131186157,0.0013689739168880166,20.0,,,fixed_d_vary_n,20000.0,800.0,,,,,,,,,,,,,,
scaling_svm_ls,polynomial alpha=0.5,,0.9603923719513052,0.0027157957614414164,20.0,,,fixed_d_vary_n,20000.0,1200.0,,,,,,,,,,,,,,
scaling_svm_ls,polynomial alpha=0.5,,0.9349924320612818,0.001914037930222287,20.0,,,fixed_d_vary_n,20000.0,2000.0,,,,,,,,,,,,,,
scaling_svm_ls,polynomial alpha=0.5,,0.9043730844927742,0.0032389493225443195,20.0,,,fixed_d_vary_n,20000.0,3000.0,,,,,,,,,,,,,,
scaling_svm_ls,polynomial alpha=0.8,,0.9881928190769649,0.003734085982599933,20.0,,,fixed_d_vary_n,20000.0,50.0,,,,,,,,,,,,,,
scaling_svm_ls,polynomial alpha=0.8,,0.9755070015704824,0.006150092547450539,20.0,,,fixed_d_vary_n,20000.0,100.0,,,,,,,,,,,,,,
scaling_svm_ls,polynomial alpha=0.8,,0.9688158555957733,0.006810072753440023,20.0,,,fixed_d_vary_n,20000.0,200.0,,,,,,,,,,,,,,
scaling_svm_ls,polynomial alpha=0.8,,0.9508857019084032,0.005385911288397807,20.0,,,fixed_d_vary_n,20000.0,400.0,,,,,,,,,,,,,,
scaling_svm_ls,polynomial alpha=0.8,,0.9301063816825129,0.005407424641825184,20.0,,,fixed_d_vary_n,20000.0,800.0,,,,,,,,,,,,,,
scaling_svm_ls,polynomial alpha=0.8,,0.9134912140387075,0.004836955912250479,20.0,,,fixed_d_vary_n,20000.0,1200.0,,,,,,,,,,,,,,
scaling_svm_ls,polynomial alpha=0.8,,0.8874116307673174,0.003918990349036133,20.0,,,fixed_d_vary_n,20000.0,2000.0,,,,,,,,,,,,,,
scaling_svm_ls,polynomial alpha=0.8,,0.860285436054844,0.003378579802937488,20.0,,,fixed_d_vary_n,20000.0,3000.0,,,,,,,,,,,,,,
scaling_svm_ls,isotropic,,0.9999565218012482,0.0001164203349447013,20.0,,,fixed_rate_vary_d,2000.0,100.0,,,,,,,,,,,,,,
scaling_svm_ls,isotropic,,0.99998472546316,2.1851292874358335e-05,20.0,,,fixed_rate_vary_d,4000.0,200.0,,,,,,,,,,,,,,
scaling_svm_ls,isotropic,,0.9999684599752754,3.338392463790841e-05,20.0,,,fixed_rate_vary_d,8000.0,400.0,,,,,,,,,,,,,,
scaling_svm_ls,isotropic,,0.999971022341121,3.137112779342802e-05,20.0,,,fixed_rate_vary_d,12000.0,600.0,,,,,,,,,,,,,,
scaling_svm_ls,isotropic,,0.9999696662406983,3.206312139136541e-05,20.0,,,fixed_rate_vary_d,16000.0,800.0,,,,,,,,,,,,,,
scaling_svm_ls,isotropic,,0.9999721756520655,2.7054177061407564e-05,20.0,,,fixed_rate_vary_d,20000.0,1000.0,,,,,,,,,,,,,,
scaling_svm_ls,polynomial alpha=0.2,,0.9967945104566158,0.0014134724251557871,20.0,,,fixed_rate_vary_d,2000.0,100.0,,,,,,,,,,,,,,
scaling_svm_ls,polynomial alpha=0.2,,0.9965290065641591,0.0007978661316487941,20.0,,,fixed_rate_vary_d,4000.0,200.0,,,,,,,,,,,,,,
scaling_svm_ls,polynomial alpha=0.2,,0.9954682331822369,0.0006149338194412196,20.0,,,fixed_rate_vary_d,8000.0,400.0,,,,,,,,,,,,,,
scaling_svm_ls,polynomial alpha=0.2,,0.9949993909034516,0.0005347953066330975,20.0,,,fixed_rate_vary_d,12000.0,600.0,,,,,,,,,,,,,,
scaling_svm_ls,polynomial alpha=0.2,,0.9944422194936158,0.0005192628709180898,20.0,,,fixed_rate_vary_d,16000.0,800.0,,,,,,,,,,,,,,
scaling_svm_ls,polynomial alpha=0.2,,0.9943240107549162,0.000505121935843548,20.0,,,fixed_rate_vary_d,20000.0,1000.0,,,,,,,,,,,,,,
scaling_svm_ls,polynomial alpha=0.5,,0.9757830264140255,0.005010007690434343,20.0,,,fixed_rate_vary_d,2000.0,100.0,,,,,,,,,,,,,,
scaling_svm_ls,polynomial alpha=0.5,,0.9740440335841365,0.002694137662910504,20.0,,,fixed_rate_vary_d,4000.0,200.0,,,,,,,,,,,,,,
scaling_svm_ls,polynomial alpha=0.5,,0.970449013141058,0.0027218937555316177,20.0,,,fixed_rate_vary_d,8000.0,400.0,,,,,,,,,,,,,,
scaling_svm_ls,polynomial alpha=0.5,,0.968321496163845,0.001822914740459784,20.0,,,fixed_rate_vary_d,12000.0,600.0,,,,,,,,,,,,,,
scaling_svm_ls,polynomial alpha=0.5,,0.9673412980262228,0.002053031098892238,20.0,,,fixed_rate_vary_d,16000.0,800.0,,,,,,,,,,,,,,
scaling_svm_ls,polynomial alpha=0.5,,0.9666146977707287,0.0018177058934682783,20.0,,,fixed_rate_vary_d,20000.0,1000.0,,,,,,,,,,,,,,
scaling_svm_ls,polynomial alpha=0.8,,0.9332152105194768,0.012079293517358588,20.0,,,fixed_rate_vary_d,2000.0,100.0,,,,,,,,,,,,,,
scaling_svm_ls,polynomial alpha=0.8,,0.9268286694497816,0.010519949474929341,20.0,,,fixed_rate_vary_d,4000.0,200.0,,,,,,,,,,,,,,
scaling_svm_ls,polynomial alpha=0.8,,0.9227106928233912,0.009511411860794367,20.0,,,fixed_rate_vary_d,8000.0,400.0,,,,,,,,,,,,,,
scaling_svm_ls,polynomial alpha=0.8,,0.9250575534415078,0.00677637192023891,20.0,,,fixed_rate_vary_d,12000.0,600.0,,,,,,,,,,,,,,
scaling_svm_ls,polynomial alpha=0.8,,0.9208497941898914,0.005777634039937252,20.0,,,fixed_rate_vary_d,16000.0,800.0,,,,,,,,,,,,,,
scaling_svm_ls,polynomial alpha=0.8,,0.9225604404736995,0.004658098736853159,20.0,,,fixed_rate_vary_d,20000.0,1000.0,,,,,,,,,,,,,,
scaling_fixed_d_sample_range,isotropic,,,,,0.29973081247477223,0.8768351608198541,,,,0.577104348345082,,,,,,,,,,,,,
scaling_fixed_d_sample_range,polynomial alpha=0.2,,,,,0.8674291628722395,0.9809745274114668,,,,0.11354536453922737,,,,,,,,,,,,,
scaling_fixed_d_sample_range,polynomial alpha=0.5,,,,,0.9950171561414024,0.9970863644717098,,,,0.002069208330307437,,,,,,,,,,,,,
scaling_fixed_d_sample_range,polynomial alpha=0.8,,,,,0.9964333969319117,0.9977383759998535,,,,0.0013049790679418027,,,,,,,,,,,,,
scaling_fixed_rate_at_d20000,isotropic,,0.7953754325567608,0.0021192411088602446,20.0,,,fixed_rate_vary_d,20000.0,1000.0,,,,,,,,,,,,,,
scaling_fixed_rate_at_d20000,polynomial alpha=0.2,,0.9766098593167701,0.000717262656859715,20.0,,,fixed_rate_vary_d,20000.0,1000.0,,,,,,,,,,,,,,
scaling_fixed_rate_at_d20000,polynomial alpha=0.5,,0.9969771129920625,0.00042134313172193335,20.0,,,fixed_rate_vary_d,20000.0,1000.0,,,,,,,,,,,,,,
scaling_fixed_rate_at_d20000,polynomial alpha=0.8,,0.997402924879278,0.00094718788725129,20.0,,,fixed_rate_vary_d,20000.0,1000.0,,,,,,,,,,,,,,
poly_signal,,,0.355673061091086,0.026140456236942205,20.0,,,,,,,0.2,1.0,,,,,,,,,,,
poly_signal,,,0.6069857779733571,0.01860784757754087,20.0,,,,,,,0.2,2.0,,,,,,,,,,,
poly_signal,,,0.8392172007544364,0.005511124434961519,20.0,,,,,,,0.2,4.0,,,,,,,,,,,
poly_signal,,,0.9168782217839079,0.002671800173557821,20.0,,,,,,,0.2,6.0,,,,,,,,,,,
poly_signal,,,0.9493736508327781,0.00129517139052597,20.0,,,,,,,0.2,8.0,,,,,,,,,,,
poly_signal,,,0.9655717422109495,0.00105045828774642,20.0,,,,,,,0.2,10.0,,,,,,,,,,,
poly_signal,,,0.9752679463219491,0.0006906208606834992,20.0,,,,,,,0.2,12.0,,,,,,,,,,,
poly_signal,,,0.9178281254906396,0.019311234246573796,20.0,,,,,,,0.5,1.0,,,,,,,,,,,
poly_signal,,,0.9766495571870684,0.003697424854809103,20.0,,,,,,,0.5,2.0,,,,,,,,,,,
poly_signal,,,0.9919115087312609,0.0009668336958634807,20.0,,,,,,,0.5,4.0,,,,,,,,,,,
poly_signal,,,0.9957996050851612,0.0005068247470679969,20.0,,,,,,,0.5,6.0,,,,,,,,,,,
poly_signal,,,0.9970693821663236,0.0005661819483108129,20.0,,,,,,,0.5,8.0,,,,,,,,,,,
poly_signal,,,0.9979198741997527,0.0003036369737145557,20.0,,,,,,,0.5,10.0,,,,,,,,,,,
poly_signal,,,0.9983430473198233,0.0002883778624806572,20.0,,,,,,,0.5,12.0,,,,,,,,,,,
poly_signal,,,0.9407673485422976,0.020278478943160982,20.0,,,,,,,0.8,1.0,,,,,,,,,,,
poly_signal,,,0.9821046601265462,0.00754919684078283,20.0,,,,,,,0.8,2.0,,,,,,,,,,,
poly_signal,,,0.9936409298527515,0.0018266303003917311,20.0,,,,,,,0.8,4.0,,,,,,,,,,,
poly_signal,,,0.9965563002053109,0.001978550376623516,20.0,,,,,,,0.8,6.0,,,,,,,,,,,
poly_signal,,,0.9975014968408586,0.000865922795467888,20.0,,,,,,,0.8,8.0,,,,,,,,,,,
poly_signal,,,0.998167214390701,0.0009983214696025883,20.0,,,,,,,0.8,10.0,,,,,,,,,,,
poly_signal,,,0.9983291658808973,0.0008934201486410593,20.0,,,,,,,0.8,12.0,,,,,,,,,,,
poly_signal_range,,,,,,0.355673061091086,0.9752679463219491,,,,0.6195948852308631,0.2,,,,,,,,,,,,
poly_signal_range,,,,,,0.9178281254906396,0.9983430473198233,,,,0.08051492182918363,0.5,,,,,,,,,,,,
poly_signal_range,,,,,,0.9407673485422976,0.9983291658808973,,,,0.05756181733859966,0.8,,,,,,,,,,,,
mu_direction_alignment,,,0.9966472906993694,0.0021228398960661146,50.0,,,,,,,,,largest_eigenvector,,,,,,,,,,
mu_direction_alignment,,,0.6427892534418983,0.01555730318546986,50.0,,,,,,,,,random,,,,,,,,,,
mu_direction_alignment,,,0.8335822370836393,0.03444328038598166,50.0,,,,,,,,,smallest_eigenvector,,,,,,,,,,
mu_direction_svm_ls,,,0.9775305215697563,0.0034162507056949855,50.0,,,,,,,,,largest_eigenvector,,,,,,,,,,
mu_direction_svm_ls,,,0.9983766055954297,0.0008680946285476409,50.0,,,,,,,,,random,,,,,,,,,,
mu_direction_svm_ls,,,0.9997190578337942,0.0005072644087138891,50.0,,,,,,,,,smallest_eigenvector,,,,,,,,,,
mu_direction_pair_delta,,,-0.1630650536157301,0.03407453654094658,50.0,-0.2538542116376218,-0.1058925837361866,,,,,,,,smallest_eigenvector - largest_eigenvector,,,,,,,,,
mu_direction_pair_delta,,,-0.3538580372574712,0.016026635356849447,50.0,-0.38752658494310244,-0.3206091574059108,,,,,,,,random - largest_eigenvector,,,,,,,,,
mu_direction_pair_delta,,,0.1907929836417411,0.03229986086103965,50.0,0.11726635480221126,0.2561942201207159,,,,,,,,smallest_eigenvector - random,,,,,,,,,
mu_norm_sigma,,,6.293961408377439,0.0,50.0,,,,,,,,,largest_eigenvector,,,,,,,,,,
mu_norm_sigma,,,0.2498997694181935,0.007868914310193965,50.0,,,,,,,,,random,,,,,,,,,,
mu_norm_sigma,,,0.1198152442518344,0.0,50.0,,,,,,,,,smallest_eigenvector,,,,,,,,,,
mu_norm_sigma_inv,,,6.293961408377439,0.0,50.0,,,,,,,,,largest_eigenvector,,,,,,,,,,
mu_norm_sigma_inv,,,246.5141624076123,0.6422316459694041,50.0,,,,,,,,,random,,,,,,,,,,
mu_norm_sigma_inv,,,330.6252927789529,0.0,50.0,,,,,,,,,smallest_eigenvector,,,,,,,,,,
theorem_diagnostic_ranges,,,,,,,,,,,,,,,,E1 final checkpoint by Sigma and loss,10.0,0.7943..1.0000,0.0010..0.1414,4.4505..6.2940,15.1949..38.6364,,,
theorem_diagnostic_ranges,,,,,,,,,,,,,,,,"E2 spectrum scaling by panel, Sigma and d/n",56.0,0.2997..0.9977,0.0002..2.8284,6.2940..6.2940,3.5615..38.6378,,,
theorem_diagnostic_ranges,,,,,,,,,,,,,,,,E3 polynomial signal threshold by alpha and ||mu||_2,21.0,0.3557..0.9983,0.0123..1.3703,1.0000..12.0000,0.1200..142.9844,,,
theorem_diagnostic_ranges,,,,,,,,,,,,,,,,E4 mu eigendirection by direction,3.0,0.6428..0.9966,0.0235..0.0318,6.2940..330.6253,38.6169..1513.0265,,,
theorem_diagnostic_correlations,,,,,,,,,,,,,,,,E1 final checkpoint by Sigma and loss,10.0,,,,,M_trace,-0.7803823545868804,-0.671296914360822
theorem_diagnostic_correlations,,,,,,,,,,,,,,,,E1 final checkpoint by Sigma and loss,10.0,,,,,M_mu,0.3479257521575902,0.3479257521575902
theorem_diagnostic_correlations,,,,,,,,,,,,,,,,E1 final checkpoint by Sigma and loss,10.0,,,,,T,0.7750245973566507,0.702434685518524
theorem_diagnostic_correlations,,,,,,,,,,,,,,,,"E2 spectrum scaling by panel, Sigma and d/n",56.0,,,,,M_trace,-0.6424756211804907,-0.5709943162974913
theorem_diagnostic_correlations,,,,,,,,,,,,,,,,"E2 spectrum scaling by panel, Sigma and d/n",56.0,,,,,M_mu,0.19157603705251883,-0.04591173413241483
theorem_diagnostic_correlations,,,,,,,,,,,,,,,,"E2 spectrum scaling by panel, Sigma and d/n",56.0,,,,,T,0.9933875076452224,0.9776281537276925
