experiment,method,seed,d,n,n_over_d,sigma_type,alpha,mu_direction,mu_norm_l2,mu_norm_sigma,mu_norm_sigma_inv,trace_sigma,sigma_op_norm,sigma_fro_norm,M_trace,M_mu,T,step,alignment_to_wstar,alignment_to_ls,alignment_to_svm,loss_value,min_margin,svm_primal_violation,svm_dual_feasibility_min_alpha,svm_kkt_complementarity,svm_primal_dual_gap,support_vector_fraction,solver_status,lambda_signal,lambda_bulk,bulk_rank,bulk_random_fraction,A_svm_wstar,A_ls_wstar,A_svm_ls,gram_condition_number,r_min,prop41_condition_empirical,solver_nit,solver_success,active_set_polished,active_set_polish_iterations,panel,alpha_label,mu_norm_label
exact_polynomial_spectrum_alignment,svm,5651000,20000,100,0.005,polynomial,0.2,largest_eigenvector,1.0,1.0,1.0,3448.659219096236,1.0,25.167956479606996,1.3702579396506043,1.0,0.11998665268100377,NA,0.3815025469982142,1.0000000000000002,NA,NA,0.9999999999999993,6.661338147750939e-16,0.0004444679104396006,3.684386695482634e-19,6.938893903907228e-18,1.0,all_support_linear_kkt,NA,NA,0,NA,0.3815025469982142,0.3815025469982142,1.0000000000000002,1.3293341364218818,0.0002222339552198003,True,0,True,False,0,B_fixed_d_vary_mu,alpha=0.2,1
exact_polynomial_spectrum_alignment,svm,5651001,20000,100,0.005,polynomial,0.2,largest_eigenvector,1.0,1.0,1.0,3448.659219096236,1.0,25.167956479606996,1.3702579396506043,1.0,0.11998665268100377,NA,0.37770227084517544,1.0000000000000002,NA,NA,0.9999999999999997,3.3306690738754696e-16,0.00041152612699239994,5.312477154698599e-19,6.938893903907228e-18,1.0,all_support_linear_kkt,NA,NA,0,NA,0.37770227084517544,0.37770227084517544,1.0000000000000002,1.3159265086229839,0.00020576306349619997,True,0,True,False,0,B_fixed_d_vary_mu,alpha=0.2,1
exact_polynomial_spectrum_alignment,svm,5651002,20000,100,0.005,polynomial,0.2,largest_eigenvector,1.0,1.0,1.0,3448.659219096236,1.0,25.167956479606996,1.3702579396506043,1.0,0.11998665268100377,NA,0.35079044447773633,1.0000000000000002,NA,NA,0.9999999999999992,7.771561172376096e-16,0.0004138023320545044,5.1261382906315455e-19,-6.938893903907228e-18,1.0,all_support_linear_kkt,NA,NA,0,NA,0.35079044447773633,0.35079044447773633,1.0000000000000002,1.3359108636919634,0.0002069011660272522,True,0,True,False,0,B_fixed_d_vary_mu,alpha=0.2,1
exact_polynomial_spectrum_alignment,svm,5651003,20000,100,0.005,polynomial,0.2,largest_eigenvector,1.0,1.0,1.0,3448.659219096236,1.0,25.167956479606996,1.3702579396506043,1.0,0.11998665268100377,NA,0.36469972539276413,1.0,NA,NA,0.9999999999999993,6.661338147750939e-16,0.00046497143814078624,3.596661559941395e-19,-6.938893903907228e-18,1.0,all_support_linear_kkt,NA,NA,0,NA,0.36469972539276413,0.36469972539276413,1.0,1.337566672309712,0.00023248571907039312,True,0,True,False,0,B_fixed_d_vary_mu,alpha=0.2,1
exact_polynomial_spectrum_alignment,svm,5651004,20000,100,0.005,polynomial,0.2,largest_eigenvector,1.0,1.0,1.0,3448.659219096236,1.0,25.167956479606996,1.3702579396506043,1.0,0.11998665268100377,NA,0.33005503025074984,1.0000000000000002,NA,NA,0.9999999999999992,7.771561172376096e-16,0.00046375038557638524,4.570269827220197e-19,0.0,1.0,all_support_linear_kkt,NA,NA,0,NA,0.33005503025074984,0.33005503025074984,1.0000000000000002,1.3421925129496113,0.00023187519278819262,True,0,True,False,0,B_fixed_d_vary_mu,alpha=0.2,1
exact_polynomial_spectrum_alignment,svm,5651005,20000,100,0.005,polynomial,0.2,largest_eigenvector,1.0,1.0,1.0,3448.659219096236,1.0,25.167956479606996,1.3702579396506043,1.0,0.11998665268100377,NA,0.3773186030067102,1.0000000000000002,NA,NA,0.9999999999999996,4.440892098500626e-16,0.0004560067503889907,5.988546066251182e-19,-1.3877787807814457e-17,1.0,all_support_linear_kkt,NA,NA,0,NA,0.3773186030067102,0.3773186030067102,1.0000000000000002,1.3179727701254098,0.00022800337519449535,True,0,True,False,0,B_fixed_d_vary_mu,alpha=0.2,1
exact_polynomial_spectrum_alignment,svm,5651006,20000,100,0.005,polynomial,0.2,largest_eigenvector,1.0,1.0,1.0,3448.659219096236,1.0,25.167956479606996,1.3702579396506043,1.0,0.11998665268100377,NA,0.38591190729391867,1.0000000000000002,NA,NA,0.9999999999999993,6.661338147750939e-16,0.0004830209831013489,3.927235533316047e-19,-6.938893903907228e-18,1.0,all_support_linear_kkt,NA,NA,0,NA,0.38591190729391867,0.38591190729391867,1.0000000000000002,1.3290386229988853,0.00024151049155067444,True,0,True,False,0,B_fixed_d_vary_mu,alpha=0.2,1
exact_polynomial_spectrum_alignment,svm,5651007,20000,100,0.005,polynomial,0.2,largest_eigenvector,1.0,1.0,1.0,3448.659219096236,1.0,25.167956479606996,1.3702579396506043,1.0,0.11998665268100377,NA,0.35479383786013974,1.0000000000000002,NA,NA,0.9999999999999994,5.551115123125783e-16,0.00043766042121971995,5.779895816423168e-19,-6.938893903907228e-18,1.0,all_support_linear_kkt,NA,NA,0,NA,0.35479383786013974,0.35479383786013974,1.0000000000000002,1.3150460978961742,0.00021883021060985997,True,0,True,False,0,B_fixed_d_vary_mu,alpha=0.2,1
exact_polynomial_spectrum_alignment,svm,5651008,20000,100,0.005,polynomial,0.2,largest_eigenvector,1.0,1.0,1.0,3448.659219096236,1.0,25.167956479606996,1.3702579396506043,1.0,0.11998665268100377,NA,0.3691009568333406,1.0,NA,NA,0.9999999999999994,5.551115123125783e-16,0.0004691077781416218,5.545920749677094e-19,6.938893903907228e-18,1.0,all_support_linear_kkt,NA,NA,0,NA,0.3691009568333406,0.3691009568333406,1.0,1.3220143454361473,0.0002345538890708109,True,0,True,False,0,B_fixed_d_vary_mu,alpha=0.2,1
exact_polynomial_spectrum_alignment,svm,5651009,20000,100,0.005,polynomial,0.2,largest_eigenvector,1.0,1.0,1.0,3448.659219096236,1.0,25.167956479606996,1.3702579396506043,1.0,0.11998665268100377,NA,0.3904784397409793,1.0,NA,NA,0.9999999999999992,7.771561172376096e-16,0.00047034532702241717,4.403455029025583e-19,0.0,1.0,all_support_linear_kkt,NA,NA,0,NA,0.3904784397409793,0.3904784397409793,1.0,1.3317251161801362,0.00023517266351120859,True,0,True,False,0,B_fixed_d_vary_mu,alpha=0.2,1
exact_polynomial_spectrum_alignment,svm,5651010,20000,100,0.005,polynomial,0.2,largest_eigenvector,1.0,1.0,1.0,3448.659219096236,1.0,25.167956479606996,1.3702579396506043,1.0,0.11998665268100377,NA,0.3836500971292288,1.0000000000000002,NA,NA,0.9999999999999994,5.551115123125783e-16,0.00048001679852684035,3.683548639698924e-19,6.938893903907228e-18,1.0,all_support_linear_kkt,NA,NA,0,NA,0.3836500971292288,0.3836500971292288,1.0000000000000002,1.333951858516224,0.00024000839926342017,True,0,True,False,0,B_fixed_d_vary_mu,alpha=0.2,1
exact_polynomial_spectrum_alignment,svm,5651011,20000,100,0.005,polynomial,0.2,largest_eigenvector,1.0,1.0,1.0,3448.659219096236,1.0,25.167956479606996,1.3702579396506043,1.0,0.11998665268100377,NA,0.35605609090694224,1.0,NA,NA,0.9999999999999992,7.771561172376096e-16,0.00046027173177042886,4.930728417082501e-19,0.0,1.0,all_support_linear_kkt,NA,NA,0,NA,0.35605609090694224,0.35605609090694224,1.0,1.335043641532475,0.00023013586588521443,True,0,True,False,0,B_fixed_d_vary_mu,alpha=0.2,1
exact_polynomial_spectrum_alignment,svm,5651012,20000,100,0.005,polynomial,0.2,largest_eigenvector,1.0,1.0,1.0,3448.659219096236,1.0,25.167956479606996,1.3702579396506043,1.0,0.11998665268100377,NA,0.3560552713755928,0.9999999999999999,NA,NA,0.9999999999999994,5.551115123125783e-16,0.0004486777307164723,3.9421679756419157e-19,0.0,1.0,all_support_linear_kkt,NA,NA,0,NA,0.3560552713755928,0.3560552713755928,0.9999999999999999,1.3285470062881386,0.00022433886535823614,True,0,True,False,0,B_fixed_d_vary_mu,alpha=0.2,1
exact_polynomial_spectrum_alignment,svm,5651013,20000,100,0.005,polynomial,0.2,largest_eigenvector,1.0,1.0,1.0,3448.659219096236,1.0,25.167956479606996,1.3702579396506043,1.0,0.11998665268100377,NA,0.35606398314129567,1.0000000000000002,NA,NA,0.9999999999999994,5.551115123125783e-16,0.00038689655318538424,4.1604124180441026e-19,0.0,1.0,all_support_linear_kkt,NA,NA,0,NA,0.35606398314129567,0.35606398314129567,1.0000000000000002,1.3278923706224695,0.00019344827659269212,True,0,True,False,0,B_fixed_d_vary_mu,alpha=0.2,1
exact_polynomial_spectrum_alignment,svm,5651014,20000,100,0.005,polynomial,0.2,largest_eigenvector,1.0,1.0,1.0,3448.659219096236,1.0,25.167956479606996,1.3702579396506043,1.0,0.11998665268100377,NA,0.30081610678536513,1.0000000000000002,NA,NA,0.9999999999999993,6.661338147750939e-16,0.00046336631637697805,4.0580969555998434e-19,-6.938893903907228e-18,1.0,all_support_linear_kkt,NA,NA,0,NA,0.30081610678536513,0.30081610678536513,1.0000000000000002,1.3208644387959334,0.00023168315818848903,True,0,True,False,0,B_fixed_d_vary_mu,alpha=0.2,1
exact_polynomial_spectrum_alignment,svm,5651015,20000,100,0.005,polynomial,0.2,largest_eigenvector,1.0,1.0,1.0,3448.659219096236,1.0,25.167956479606996,1.3702579396506043,1.0,0.11998665268100377,NA,0.3801060597665043,1.0,NA,NA,0.9999999999999992,7.771561172376096e-16,0.0004285985822232047,4.308894116730095e-19,0.0,1.0,all_support_linear_kkt,NA,NA,0,NA,0.3801060597665043,0.3801060597665043,1.0,1.3220438739109666,0.00021429929111160234,True,0,True,False,0,B_fixed_d_vary_mu,alpha=0.2,1
exact_polynomial_spectrum_alignment,svm,5651016,20000,100,0.005,polynomial,0.2,largest_eigenvector,1.0,1.0,1.0,3448.659219096236,1.0,25.167956479606996,1.3702579396506043,1.0,0.11998665268100377,NA,0.32835697644130785,1.0,NA,NA,0.9999999999999993,6.661338147750939e-16,0.00047715525254991446,4.556118409660875e-19,-6.938893903907228e-18,1.0,all_support_linear_kkt,NA,NA,0,NA,0.32835697644130785,0.32835697644130785,1.0,1.338259415630833,0.00023857762627495723,True,0,True,False,0,B_fixed_d_vary_mu,alpha=0.2,1
